>Temperature(c)	 Height(m)	
-24.455219	466.78696
-24.169939	462.65348
-23.913187	458.52001
-23.799075	454.38653
-23.542323	447.15294
-23.199987	438.88598
-22.971763	431.6524
-22.486787	414.08512
-21.859171	393.41773
-21.03186	368.61686
-19.491348	323.1486
-18.093476	282.84719
-16.581492	246.67926
-15.354789	218.77828
-14.099557	187.7772
-12.872853	161.94296
-11.674677	128.87514
-10.419446	103.0409
-9.0215738	72.039813
-7.7378141	41.038728
-6.7963902	20.371338
-6.3684703	10.037644
-5.8549664	3.8374265
