>Temperature(c)	 Height(m)	
-24.915352	360.57935
-24.631277	354.91184
-24.189383	350.37783
-23.715925	346.97733
-23.526542	344.71033
-23.17934	336.77582
-22.895265	328.84131
-22.76901	325.44081
-22.453372	319.7733
-21.822095	307.30479
-21.411765	300.50378
-21.032999	288.03526
-19.770445	265.36524
-19.170732	255.16373
-17.84505	230.2267
-16.393113	203.02267
-14.97274	176.95214
-13.394548	147.48111
-11.816356	123.67758
-10.111908	98.740554
-7.6183644	60.201511
-6.3873745	43.198992
-5.061693	26.196474
-4.3988522	15.994962
-3.7360115	5.7934509
